    123 NORMALIZABLES	creatinina
      2 NORMALIZABLES	carbón activado
      2 NORMALIZABLES	carbimazol
      2 NORMALIZABLES	carbamazepina
      2 NORMALIZABLES	captopril
      2 NORMALIZABLES	capsaicina
      2 NORMALIZABLES	candesartán
      2 NORMALIZABLES	Calcitriol
      2 NORMALIZABLES	BUN
      2 NORMALIZABLES	bromazepam
      2 NORMALIZABLES	brivudina
      2 NORMALIZABLES	brinzolamida
      2 NORMALIZABLES	brimonidina
      2 NORMALIZABLES	Bleomicina
      2 NORMALIZABLES	bisoprolol
      2 NORMALIZABLES	Bilirrubinas
      2 NORMALIZABLES	bifosfonatos
      2 NORMALIZABLES	bicarbonato sódico
      2 NORMALIZABLES	Bicalutamida
      2 NORMALIZABLES	betametasona
      2 NORMALIZABLES	betahistina
      2 NORMALIZABLES	B12
      2 NORMALIZABLES	Azopt
      2 NORMALIZABLES	Atropina
      2 NORMALIZABLES	aspirinas
      2 NORMALIZABLES	APC
      2 NORMALIZABLES	amoxicilina-ácido clavulánico
      2 NORMALIZABLES	Amoxicilina
      2 NORMALIZABLES	Alopurinol
      2 NORMALIZABLES	alfacalcidol
      2 NORMALIZABLES	Adolonta
      2 NORMALIZABLES	Adamín G
      2 NORMALIZABLES	Ácido úrico
      2 NORMALIZABLES	ácido poliglicólico
      2 NORMALIZABLES	ácido micofenólico
      2 NORMALIZABLES	Aciclovir
      2 NORMALIZABLES	acarbosa
      2 NORMALIZABLES	99Tc
      2 NORMALIZABLES	6-metilprednisolona
      2 NORMALIZABLES	5FU
      2 NORMALIZABLES	5-fluorouracilo
      2 NORMALIZABLES	5-ASA
      2 NORMALIZABLES	5 fluorouracilo
      2 NORMALIZABLES	3TC
      2 NORMALIZABLES	25-hidroxivitamina D
      2 NORMALIZABLES	25-HCC
      2 NO_NORMALIZABLES	Strattice
      2 NO_NORMALIZABLES	Nd:YAG
      2 NO_NORMALIZABLES	Addamel
      1 UNCLEAR	vaselina salicílica
      1 UNCLEAR	vacuna antituberculosa
      1 UNCLEAR	vacuna antitetánica
      1 UNCLEAR	R-CHOP
      1 UNCLEAR	olivo
      1 UNCLEAR	MOPP
      1 UNCLEAR	mFOLFOX 6
      1 UNCLEAR	Isoplasmar G
      1 UNCLEAR	FOLFOX
      1 UNCLEAR	FOLFORI
      1 UNCLEAR	FOLFIRI
      1 UNCLEAR	FMD
      1 UNCLEAR	FEC 75
      1 UNCLEAR	ERORH
      1 UNCLEAR	EPOCH-R
      1 UNCLEAR	EOX
      1 UNCLEAR	C-VAD
      1 UNCLEAR	COPP
      1 UNCLEAR	CMF
      1 UNCLEAR	cig
      1 UNCLEAR	CHOP-R
      1 UNCLEAR	BEACOPP
      1 PROTEINAS	γGT
      1 PROTEINAS	β-lactamasa de espectro extendido
      1 PROTEINAS	αFP
      1 PROTEINAS	α-amilasa
      1 PROTEINAS	XLRS
      1 PROTEINAS	vicentina
      1 PROTEINAS	VEB IgG
      1 PROTEINAS	VCA IgM
      1 PROTEINAS	VCA IgG
      1 PROTEINAS	TTG
      1 PROTEINAS	troponina I
      1 PROTEINAS	treonina
      1 PROTEINAS	transferina
      1 PROTEINAS	Transaminasas
      1 PROTEINAS	Transaminasa glutámico-pirúvica
      1 PROTEINAS	transaminasa glutámico-pirúvica
      1 PROTEINAS	Transaminasa glutámico-oxalacética
      1 PROTEINAS	transaminasa glutámico-oxalacética
      1 PROTEINAS	TPH
      1 PROTEINAS	toxina de Clostridium difficile
      1 PROTEINAS	toxina botulínica serotipo A
      1 PROTEINAS	tirosina cinasa
      1 PROTEINAS	tiroglobulina
      1 PROTEINAS	TCR
      1 PROTEINAS	sY86
      1 PROTEINAS	sY84
      1 PROTEINAS	sY255
      1 PROTEINAS	sY254
      1 PROTEINAS	sY134
      1 PROTEINAS	sY127
      1 PROTEINAS	Streptokinasa
      1 PROTEINAS	STH
      1 PROTEINAS	ß2µglobulina
      1 PROTEINAS	SMA
      1 PROTEINAS	SLC4A1
      1 PROTEINAS	Sinaptofusina
      1 PROTEINAS	Sinaptofisina
      1 PROTEINAS	sinaptofisina
      1 PROTEINAS	Simponi
      1 PROTEINAS	sIg
      1 PROTEINAS	seroalbúmina
      1 PROTEINAS	scl70
      1 PROTEINAS	rt-PA
      1 PROTEINAS	RPg
      1 PROTEINAS	RHA
      1 PROTEINAS	reticulina
      1 PROTEINAS	Remicade
      1 PROTEINAS	receptores opioides
      1 PROTEINAS	receptores N-metil-D-aspartato
      1 PROTEINAS	receptores m opioides
      1 PROTEINAS	receptores hormonales de estrógenos y de progesterona
      1 PROTEINAS	receptores hormonales de estrógenos
      1 PROTEINAS	Receptores de estrógeno
      1 PROTEINAS	receptor de interleucina 1
      1 PROTEINAS	receptor de angiotesina II
      1 PROTEINAS	RE
      1 PROTEINAS	re
      1 PROTEINAS	RBP
      1 PROTEINAS	queratinas AE1-AE3
      1 PROTEINAS	queratinas AE1-3
      1 PROTEINAS	queratina 903
      1 PROTEINAS	queratina 7 y 19
      1 PROTEINAS	Queratina
      1 PROTEINAS	Quantiferón
      1 PROTEINAS	PTEN
      1 PROTEINAS	PS 3
      1 PROTEINAS	protombina
      1 PROTEINAS	proteínas transportadoras de la vitamina A
      1 PROTEINAS	Proteínas Totales
      1 PROTEINAS	Proteinas totales
      1 PROTEINAS	proteinas totales
      1 PROTEINAS	proteínas S
      1 PROTEINAS	proteínas en orina
      1 PROTEINAS	Proteínas
      1 PROTEINAS	proteína vimentina
      1 PROTEINAS	Proteína Transportadora de Retinol
      1 PROTEINAS	proteína sérica amiloide A
      1 PROTEINAS	Proteína s-100
      1 PROTEINAS	proteína S100
      1 PROTEINAS	Proteina S-100
      1 PROTEINAS	proteina S-100
      1 PROTEINAS	proteína S- 100
      1 PROTEINAS	proteína S
      1 PROTEINAS	proteína p63
      1 PROTEINAS	proteína ligadora del retinol
      1 PROTEINAS	proteína ligadora de retinol
      1 PROTEINAS	proteína glial fibrilar ácida
      1 PROTEINAS	Proteina enlazante de retinol
      1 PROTEINAS	proteína C-reativa
      1 PROTEINAS	proteína C-reactiva
      1 PROTEINAS	proteína C activada
      1 PROTEINAS	proteína c activada
      1 PROTEINAS	proteína amiloide A
      1 PROTEINAS	proteína ALK
      1 PROTEINAS	proteína AA
      1 PROTEINAS	propéptido amino-terminal del procolágeno tipo 1
      1 PROTEINAS	priones
      1 PROTEINAS	Prealbúmina
      1 PROTEINAS	polisacárido capsular de neumococo
      1 PROTEINAS	polimerasas
      1 PROTEINAS	P-INF alfa
      1 PROTEINAS	P-INF
      1 PROTEINAS	PF4
      1 PROTEINAS	Perforina
      1 PROTEINAS	Péptido natriurético tipo B
      1 PROTEINAS	Péptido C
      1 PROTEINAS	pegIFN-α2b
      1 PROTEINAS	PDF
      1 PROTEINAS	paratohormona
      1 PROTEINAS	panqueratina
      1 PROTEINAS	panitumumab
      1 PROTEINAS	P-ANCA
      1 PROTEINAS	p80
      1 PROTEINAS	p-53
      1 PROTEINAS	p53
      1 PROTEINAS	P1NP
      1 PROTEINAS	oxihemoglobina
      1 PROTEINAS	oxidasa
      1 PROTEINAS	OKT3
      1 PROTEINAS	ntiandrógeno
      1 PROTEINAS	NSE
      1 PROTEINAS	NPHS2
      1 PROTEINAS	NPHS1
      1 PROTEINAS	N-Cam
      1 PROTEINAS	NAG
      1 PROTEINAS	N-acetilglucosaminidasa
      1 PROTEINAS	MyO D1
      1 PROTEINAS	MUM-1
      1 PROTEINAS	miosina
      1 PROTEINAS	mioglobina
      1 PROTEINAS	miofosforilasa
      1 PROTEINAS	mieloperoxidasa
      1 PROTEINAS	mielina
      1 PROTEINAS	MIB-1
      1 PROTEINAS	Mi-2
      1 PROTEINAS	Mi-1
      1 PROTEINAS	Melan-A
      1 PROTEINAS	MELAN A
      1 PROTEINAS	MELAM-A
      1 PROTEINAS	LMP1
      1 PROTEINAS	LKM1
      1 PROTEINAS	LKM
      1 PROTEINAS	Lisozima
      1 PROTEINAS	lipoproteínas de alta densidad
      1 PROTEINAS	LEPRE1
      1 PROTEINAS	lactodeshidrogenasa
      1 PROTEINAS	lacticodeshidrogenasa
      1 PROTEINAS	lácticodehidrogenasa
      1 PROTEINAS	Lactato deshidrogenosa
      1 PROTEINAS	lactato deshidrogenada
      1 PROTEINAS	K-ras
      1 PROTEINAS	ki 67
      1 PROTEINAS	keratina
      1 PROTEINAS	isohemaglutininas
      1 PROTEINAS	Intrón A
      1 PROTEINAS	Interleukina II
      1 PROTEINAS	interleucina humana-1 beta
      1 PROTEINAS	interleucina 6
      1 PROTEINAS	interferon-gamma
      1 PROTEINAS	Interferón-á
      1 PROTEINAS	interferón gamma
      1 PROTEINAS	interferón alfa
      1 PROTEINAS	Interferon alfa
      1 PROTEINAS	insulina rápida
      1 PROTEINAS	insulina NPH
      1 PROTEINAS	insulina isofánica protamina
      1 PROTEINAS	insulina glargina
      1 PROTEINAS	insulina aspart
      1 PROTEINAS	inmunoglobulina IgM
      1 PROTEINAS	inmunoglobulina G
      1 PROTEINAS	inmuglobulinas
      1 PROTEINAS	Inhibina
      1 PROTEINAS	inhibina
      1 PROTEINAS	INF-α
      1 PROTEINAS	immunoglobulinas
      1 PROTEINAS	IL-2
      1 PROTEINAS	IgM parvovirus B19
      1 PROTEINAS	IgM antiVCA
      1 PROTEINAS	IG-Kappa
      1 PROTEINAS	IGIV
      1 PROTEINAS	IgH
      1 PROTEINAS	IgG específica frente a toxoide tetánico
      1 PROTEINAS	IgG antiEBNA
      1 PROTEINAS	IgG anti VCA
      1 PROTEINAS	IgA y M
      1 PROTEINAS	IgA antitransglutaminasa
      1 PROTEINAS	Ig G4
      1 PROTEINAS	Ig G Kappa
      1 PROTEINAS	Ig G
      1 PROTEINAS	Ig A
      1 PROTEINAS	IFN-α
      1 PROTEINAS	IFN pegilado α2a
      1 PROTEINAS	IAA
      1 PROTEINAS	Humira
      1 PROTEINAS	human leukocyte antigen
      1 PROTEINAS	HTLV-1/HTLV-2
      1 PROTEINAS	HTLV I/II
      1 PROTEINAS	hormona paratiroidea intacta
      1 PROTEINAS	hormona paratiroidea
      1 PROTEINAS	hormona liberadora de gonadotropinas
      1 PROTEINAS	hormona liberadora de gonadotropina
      1 PROTEINAS	Hormona Antidiurética
      1 PROTEINAS	HNF1 β
      1 PROTEINAS	HMB-45
      1 PROTEINAS	HLA-DQA1
      1 PROTEINAS	HLA-B27
      1 PROTEINAS	HLA DR2
      1 PROTEINAS	HLA B-7
      1 PROTEINAS	HLA B-27
      1 PROTEINAS	HLA A29
      1 PROTEINAS	Hgb
      1 PROTEINAS	Her2-neu
      1 PROTEINAS	Her-2
      1 PROTEINAS	hemoglobina glicosilada
      1 PROTEINAS	Hb 1AC
      1 PROTEINAS	HB
      1 PROTEINAS	Granzime B
      1 PROTEINAS	gonadotropinacoriónica humana
      1 PROTEINAS	Golimumab
      1 PROTEINAS	GLUT-1
      1 PROTEINAS	Globulinas
      1 PROTEINAS	globulinas
      1 PROTEINAS	globulina antitimocítica
      1 PROTEINAS	GJB2
      1 PROTEINAS	G-CSF
      1 PROTEINAS	Gb3
      1 PROTEINAS	gastrina
      1 PROTEINAS	gamma-glutamiltranspeptidasa
      1 PROTEINAS	Gamma
      1 PROTEINAS	galactomanano
      1 PROTEINAS	Fosfatasas alcalinas
      1 PROTEINAS	fosfatasas alcalinas
      1 PROTEINAS	fosfatasas ácida y alcalina
      1 PROTEINAS	Fosfatasa alcalina
      1 PROTEINAS	FGF23
      1 PROTEINAS	FFAA
      1 PROTEINAS	factores estimulantes de colonias granulocíticas
      1 PROTEINAS	factores estimulantes de colonias
      1 PROTEINAS	factores de crecimiento granulocitario
      1 PROTEINAS	factor XIIIa
      1 PROTEINAS	factor VIII
      1 PROTEINAS	factor VII
      1 PROTEINAS	factor estimulante de colonias de granulocitos
      1 PROTEINAS	F-actina
      1 PROTEINAS	estreptoquinasa
      1 PROTEINAS	enzimas pancreáticos
      1 PROTEINAS	enzimas miocárdicas
      1 PROTEINAS	enzimas hepáticos
      1 PROTEINAS	enzima de conversión de angiotensina
      1 PROTEINAS	enzima convertidora de la angiotensina II
      1 PROTEINAS	enzima convertidora de angiotensina
      1 PROTEINAS	enzima convertidor de la angiotensina
      1 PROTEINAS	enzima conversora de la angiotensina
      1 PROTEINAS	enolasa neutrófila específica
      1 PROTEINAS	ence-Jones 
      1 PROTEINAS	EGFR
      1 PROTEINAS	eculizumab
      1 PROTEINAS	E-Caderina
      1 PROTEINAS	ECA
      1 PROTEINAS	EBNA
      1 PROTEINAS	EBER
      1 PROTEINAS	E3
      1 PROTEINAS	DRX
      1 PROTEINAS	DR2
      1 PROTEINAS	DR1
      1 PROTEINAS	DQB1
      1 PROTEINAS	DQ8
      1 PROTEINAS	Dimeros D
      1 PROTEINAS	dímero D
      1 PROTEINAS	desoxihemoglobina
      1 PROTEINAS	daclizumab
      1 PROTEINAS	CRTAP
      1 PROTEINAS	cromogranina A
      1 PROTEINAS	cromogranina
      1 PROTEINAS	cromogramina
      1 PROTEINAS	Criopirina
      1 PROTEINAS	crioaglutininas
      1 PROTEINAS	creatinkinasa
      1 PROTEINAS	creatinincinasa
      1 PROTEINAS	creatinfosfokinasa fracción MB
      1 PROTEINAS	creatinfosfokinasa
      1 PROTEINAS	creatín quinasa
      1 PROTEINAS	componente M
      1 PROTEINAS	colinesterasa
      1 PROTEINAS	colágeno IV
      1 PROTEINAS	COL1A2
      1 PROTEINAS	coagulasa
      1 PROTEINAS	CKPAN
      1 PROTEINAS	CK-MB
      1 PROTEINAS	cKit
      1 PROTEINAS	c-kit
      1 PROTEINAS	CKAE1
      1 PROTEINAS	CK8
      1 PROTEINAS	CK7
      1 PROTEINAS	CK22
      1 PROTEINAS	CK18
      1 PROTEINAS	CK 7
      1 PROTEINAS	citoquetatina
      1 PROTEINAS	Citoquerqatinas
      1 PROTEINAS	citoqueratinas 19 y 20
      1 PROTEINAS	Citoqueratinas
      1 PROTEINAS	citoqueratina-7
      1 PROTEINAS	citoqueratina-20
      1 PROTEINAS	citoqueratina AE1-3
      1 PROTEINAS	citoqueratina 22
      1 PROTEINAS	citoqueratina (CK) 7
      1 PROTEINAS	citoqueratina (CK) 20
      1 PROTEINAS	citoqueratina
      1 PROTEINAS	ciclina D1
      1 PROTEINAS	C-GSF
      1 PROTEINAS	cetuximab
      1 PROTEINAS	Cerb-2
      1 PROTEINAS	CEA-II
      1 PROTEINAS	CD-99
      1 PROTEINAS	CD99
      1 PROTEINAS	Cd79b
      1 PROTEINAS	CD57
      1 PROTEINAS	CD50
      1 PROTEINAS	CD5
      1 PROTEINAS	CD38
      1 PROTEINAS	CD-30
      1 PROTEINAS	CD30
      1 PROTEINAS	CD23
      1 PROTEINAS	CD22
      1 PROTEINAS	CD209
      1 PROTEINAS	CD19
      1 PROTEINAS	CD-15
      1 PROTEINAS	CD15
      1 PROTEINAS	cd10
      1 PROTEINAS	CD1
      1 PROTEINAS	CD 99
      1 PROTEINAS	CD 79
      1 PROTEINAS	CD 56
      1 PROTEINAS	CD 5
      1 PROTEINAS	CD 43
      1 PROTEINAS	catalasa
      1 PROTEINAS	cANCA
      1 PROTEINAS	Canakinumab
      1 PROTEINAS	CAM 5,2
      1 PROTEINAS	Calretinina
      1 PROTEINAS	calponina
      1 PROTEINAS	cadenas ligeras tipo lamda
      1 PROTEINAS	cadenas ligeras libres monoclonales
      1 PROTEINAS	cadenas ligeras Kappa
      1 PROTEINAS	cadenas ligeras de las inmunoglobulinas
      1 PROTEINAS	cadena pesada de las inmunoglobulinas
      1 PROTEINAS	cadena gamma del receptor del linfocito T
      1 PROTEINAS	CA19-9
      1 PROTEINAS	CA19.9
      1 PROTEINAS	CA153
      1 PROTEINAS	Ca 72.4
      1 PROTEINAS	CA 19-9
      1 PROTEINAS	CA 19.9
      1 PROTEINAS	Ca 19,9n
      1 PROTEINAS	CA 19,9
      1 PROTEINAS	Ca 15,3
      1 PROTEINAS	Ca 125II
      1 PROTEINAS	CA 12,5
      1 PROTEINAS	C
      1 PROTEINAS	BX2
      1 PROTEINAS	BR 27,29
      1 PROTEINAS	BLEE
      1 PROTEINAS	BioGide
      1 PROTEINAS	B-HCG
      1 PROTEINAS	BHCG
      1 PROTEINAS	BEVACIZUMAB
      1 PROTEINAS	Bevacizumab
      1 PROTEINAS	Beta-HGC
      1 PROTEINAS	Beta-hCG
      1 PROTEINAS	beta-hCG
      1 PROTEINAS	Beta-2-microglobulina
      1 PROTEINAS	Beta2-microglobulina
      1 PROTEINAS	beta2-globulina
      1 PROTEINAS	beta-2 transferrina
      1 PROTEINAS	beta catenina
      1 PROTEINAS	beta 2 glicoproteína I
      1 PROTEINAS	bence-jones
      1 PROTEINAS	Bcl-6
      1 PROTEINAS	Bcl-2
      1 PROTEINAS	bcl-2
      1 PROTEINAS	B35
      1 PROTEINAS	B2-microglobulina
      1 PROTEINAS	b2-microglobulina
      1 PROTEINAS	b2µglobulina
      1 PROTEINAS	B14
      1 PROTEINAS	ATG
      1 PROTEINAS	aspartato-aminotransferasa
      1 PROTEINAS	aspartato transferasa
      1 PROTEINAS	aspartato transaminasa
      1 PROTEINAS	ASAT
      1 PROTEINAS	anti-Yo
      1 PROTEINAS	anti-VEGF
      1 PROTEINAS	anti-transglutaminasa
      1 PROTEINAS	anti-Tr
      1 PROTEINAS	anti-TPO
      1 PROTEINAS	anti-TNF
      1 PROTEINAS	antitiroides
      1 PROTEINAS	antitiroglobulina
      1 PROTEINAS	anti-TG
      1 PROTEINAS	anti-SSA
      1 PROTEINAS	antiSM
      1 PROTEINAS	anti-Sm
      1 PROTEINAS	anti-SCL70
      1 PROTEINAS	anti-RNP
      1 PROTEINAS	anti-Ri
      1 PROTEINAS	anti-P155/140
      1 PROTEINAS	antineumocócica
      1 PROTEINAS	anti-músculo liso
      1 PROTEINAS	antimicrosomales
      1 PROTEINAS	anti-LKM
      1 PROTEINAS	anti-LA
      1 PROTEINAS	anti-La
      1 PROTEINAS	anti-Jo
      1 PROTEINAS	anti-insulina
      1 PROTEINAS	anti-IA2
      1 PROTEINAS	anti-HPA-1a
      1 PROTEINAS	anti-histonas
      1 PROTEINAS	antihistona
      1 PROTEINAS	Anti-HBs
      1 PROTEINAS	Anti-HBc
      1 PROTEINAS	antígenos víricos
      1 PROTEINAS	antígenos de influenza A
      1 PROTEINAS	antígenos de histocompatibilidad-B27
      1 PROTEINAS	antígeno prostático específico
      1 PROTEINAS	antígeno epitelial de membrana
      1 PROTEINAS	Antígeno de superficie VHB
      1 PROTEINAS	Antígeno de Superficie para Hepatitis B
      1 PROTEINAS	antígeno de galactomanano
      1 PROTEINAS	antígeno criptocócico
      1 PROTEINAS	Antígeno carcinoembrionario
      1 PROTEINAS	Antígeno Carcino Embrionario
      1 PROTEINAS	antifisina
      1 PROTEINAS	antiDNA
      1 PROTEINAS	anti-CV2
      1 PROTEINAS	Anticuerpos IgA antitransglutaminasa
      1 PROTEINAS	anticuerpos IgA antitransglutaminasa
      1 PROTEINAS	anticuerpos frente al HTLV-1
      1 PROTEINAS	anticuerpos frente a VLHT-1
      1 PROTEINAS	anticuerpos extraíbles del núcleo
      1 PROTEINAS	anticuerpos contra el treponema
      1 PROTEINAS	anticuerpos antitransglutaminasa tisular IgA
      1 PROTEINAS	anticuerpos anti-TPO
      1 PROTEINAS	anticuerpos antitiroideos
      1 PROTEINAS	Anticuerpos anti-TG
      1 PROTEINAS	anticuerpos anti-Ro
      1 PROTEINAS	anticuerpos antireceptores de la acetilcolina
      1 PROTEINAS	anticuerpos antiperoxidasa
      1 PROTEINAS	anticuerpos antipéptidos cíclicos citrulinados
      1 PROTEINAS	anticuerpos antipéptido cíclico citrulinado
      1 PROTEINAS	Anticuerpos antinucleares ENA
      1 PROTEINAS	Anticuerpos antinucleares
      1 PROTEINAS	anticuerpos anti-NMDA
      1 PROTEINAS	anticuerpos antimúsculo liso
      1 PROTEINAS	Anticuerpos antimitocondriales
      1 PROTEINAS	anticuerpos antimitocondriales
      1 PROTEINAS	anticuerpos antimicelio
      1 PROTEINAS	anticuerpos anti-MBG
      1 PROTEINAS	anticuerpos anti-gliadina
      1 PROTEINAS	Anticuerpos anti-GAD
      1 PROTEINAS	anticuerpos antifosfolípido
      1 PROTEINAS	anticuerpos antifosfolipídicos
      1 PROTEINAS	anticuerpos anti-endomisio
      1 PROTEINAS	anticuerpos antiDNA
      1 PROTEINAS	anticuerpos anticitoplásmicos
      1 PROTEINAS	anticuerpos anticitoplasma neutrófilo
      1 PROTEINAS	anticuerpos anti-citoplasma de neutrófilos
      1 PROTEINAS	anticuerpos anti-citoplasma de los neutrófilos
      1 PROTEINAS	anticuerpos anticitoplasma
      1 PROTEINAS	anticuerpos anticélulas parietales
      1 PROTEINAS	anticuerpos anticardiolipinas de tipo IgM
      1 PROTEINAS	anticuerpos anticardiolipina de tipo Ig G
      1 PROTEINAS	anticuerpos anti-ADN
      1 PROTEINAS	anticuerpos ANA
      1 PROTEINAS	anticuerpo monoclonal anti CD3
      1 PROTEINAS	Anticuerpo anti-VHC
      1 PROTEINAS	Anticuerpo anti-HBs
      1 PROTEINAS	Anticuerpo anti-HBc
      1 PROTEINAS	anticuerpo antifosfolípido
      1 PROTEINAS	anticuerpo antiacuoporina-4
      1 PROTEINAS	anticuerpo anti GQ-1b
      1 PROTEINAS	anticitoplasma de neutrófilos
      1 PROTEINAS	anticentrómero
      1 PROTEINAS	anti-CCP
      1 PROTEINAS	anti-cardiolipina
      1 PROTEINAS	anti-canales de calcio
      1 PROTEINAS	anti HBe
      1 PROTEINAS	Anti Hbc
      1 PROTEINAS	ANCAS
      1 PROTEINAS	ANCA's
      1 PROTEINAS	ANCAs
      1 PROTEINAS	ANCAp
      1 PROTEINAS	ANAS
      1 PROTEINAS	ANAs
      1 PROTEINAS	amiloide AA
      1 PROTEINAS	amilasas
      1 PROTEINAS	amilasa pancreática
      1 PROTEINAS	AMA-2
      1 PROTEINAS	alk-protein 1
      1 PROTEINAS	ALK 1
      1 PROTEINAS	ALK
      1 PROTEINAS	A-LHRH
      1 PROTEINAS	alfa-GLA A
      1 PROTEINAS	alfa-FP
      1 PROTEINAS	Alfa-feto-proteína
      1 PROTEINAS	Alfa-Feto-Proteina
      1 PROTEINAS	Alfa-feto proteína
      1 PROTEINAS	alfa2
      1 PROTEINAS	alfa-1-antripsina
      1 PROTEINAS	alfa1 antitripsina
      1 PROTEINAS	alfa1
      1 PROTEINAS	alfa galactosidasa
      1 PROTEINAS	alfa feto proteína
      1 PROTEINAS	alemtuzumab
      1 PROTEINAS	alanini aminotransferasa
      1 PROTEINAS	alanina-aminotransferasa
      1 PROTEINAS	alanina transferasa
      1 PROTEINAS	Ag. criptococo
      1 PROTEINAS	Ag p24
      1 PROTEINAS	aFP
      1 PROTEINAS	a-fetoproteína
      1 PROTEINAS	AEI
      1 PROTEINAS	AE1-3
      1 PROTEINAS	Adenosina desaminasa
      1 PROTEINAS	ADA
      1 PROTEINAS	AcVHC
      1 PROTEINAS	ACTH
      1 PROTEINAS	ácido desoxirribonucleico
      1 PROTEINAS	Ac. Toxoplasma
      1 PROTEINAS	Ac. Leishmania
      1 PROTEINAS	Ac antinucleares
      1 PROTEINAS	Ac antifosfolípidos
      1 PROTEINAS	ac antifosfolípidos
      1 PROTEINAS	Ac anticardiolipina
      1 PROTEINAS	ABL cinasa
      1 PROTEINAS	A30
      1 PROTEINAS	A29
      1 PROTEINAS	A11
      1 PROTEINAS	a-1 antitripsina
      1 PROTEINAS	4-methyilumbelliferyl α-D-galactosidasa
      1 PROTEINAS	16S rDNA
      1 PROTEINAS	16s
      1 PROTEINAS	µ
      1 NORMALIZABLES	β-glucano
      1 NORMALIZABLES	Zovirax
      1 NORMALIZABLES	zonisamida
      1 NORMALIZABLES	Zn
      1 NORMALIZABLES	ziprasidona
      1 NORMALIZABLES	Zantac
      1 NORMALIZABLES	Ytrio 90
      1 NORMALIZABLES	Yodo-131
      1 NORMALIZABLES	yodo
      1 NORMALIZABLES	yeso
      1 NORMALIZABLES	Vycril
      1 NORMALIZABLES	VPA
      1 NORMALIZABLES	vitaminas D
      1 NORMALIZABLES	vitaminas B12
      1 NORMALIZABLES	vitaminas B1
      1 NORMALIZABLES	vitamina K
      1 NORMALIZABLES	vitamina E
      1 NORMALIZABLES	Vitamina D
      1 NORMALIZABLES	vitamina C
      1 NORMALIZABLES	vitamina B-2
      1 NORMALIZABLES	Vitamina B12
      1 NORMALIZABLES	vitamina B
      1 NORMALIZABLES	Vitamina A
      1 NORMALIZABLES	Visudyne
      1 NORMALIZABLES	Virex
      1 NORMALIZABLES	Vinblastina
      1 NORMALIZABLES	Vibracina
      1 NORMALIZABLES	Verteporfin
      1 NORMALIZABLES	vanilmandelato
      1 NORMALIZABLES	valina
      1 NORMALIZABLES	uroporfirinas
      1 NORMALIZABLES	urobilinógeno
      1 NORMALIZABLES	urbasón
      1 NORMALIZABLES	Uratos
      1 NORMALIZABLES	trometamol
      1 NORMALIZABLES	trimpetoprima/sulfametoxazol
      1 NORMALIZABLES	trimetroprim-sulfametoxazol
      1 NORMALIZABLES	trimetroprim-sufametoxazol
      1 NORMALIZABLES	Trimetropina/ Sulfametoxazol
      1 NORMALIZABLES	Trimetropin sulfametoxazol
      1 NORMALIZABLES	trimetoprim-sulfametoxazol
      1 NORMALIZABLES	Trimetoprim/Sulfametoxasol
      1 NORMALIZABLES	Trigón depot
      1 NORMALIZABLES	TRIGON depot
      1 NORMALIZABLES	Trigon Depot
      1 NORMALIZABLES	Trigon depot
      1 NORMALIZABLES	trifusal
      1 NORMALIZABLES	Triamcinolona acetónido
      1 NORMALIZABLES	triamcinolona acetónido
      1 NORMALIZABLES	triamcinolona acetonido
      1 NORMALIZABLES	trazodona
      1 NORMALIZABLES	Trangorex
      1 NORMALIZABLES	tracolimus
      1 NORMALIZABLES	trabectedina
      1 NORMALIZABLES	Tobrex
      1 NORMALIZABLES	Tobramicina
      1 NORMALIZABLES	TMS
      1 NORMALIZABLES	Titanio
      1 NORMALIZABLES	tiazídico
      1 NORMALIZABLES	tiazidas
      1 NORMALIZABLES	terlipresina
      1 NORMALIZABLES	Tenofovir
      1 NORMALIZABLES	Temozolomida
      1 NORMALIZABLES	Teicoplanina
      1 NORMALIZABLES	tecnecio 99-MDP
      1 NORMALIZABLES	Tc99m-pertecnetato
      1 NORMALIZABLES	Tc99m-MDP
      1 NORMALIZABLES	Tc-99m
      1 NORMALIZABLES	Tc99m
      1 NORMALIZABLES	Tc 99m difosfato
      1 NORMALIZABLES	Tazocel
      1 NORMALIZABLES	taxano
      1 NORMALIZABLES	tamsulosina
      1 NORMALIZABLES	tafluprost
      1 NORMALIZABLES	tacrolinus
      1 NORMALIZABLES	T4L
      1 NORMALIZABLES	T4 libre
      1 NORMALIZABLES	Synhes
      1 NORMALIZABLES	Supradyn
      1 NORMALIZABLES	sulpiride
      1 NORMALIZABLES	sulfuro
      1 NORMALIZABLES	sulfonilurea
      1 NORMALIZABLES	sulfato magnésico
      1 NORMALIZABLES	sulfato de polimixina B
      1 NORMALIZABLES	sulfato de glucosamina
      1 NORMALIZABLES	Sulfamidas
      1 NORMALIZABLES	sulfamidas
      1 NORMALIZABLES	Sulfadiacina argéntica
      1 NORMALIZABLES	sulfadiacina argéntica
      1 NORMALIZABLES	Sulfadiacina
      1 NORMALIZABLES	sulfadiacina
      1 NORMALIZABLES	sulfacetamida
      1 NORMALIZABLES	sueros salinos
      1 NORMALIZABLES	sueros
      1 NORMALIZABLES	suero salino fisiológico
      1 NORMALIZABLES	succinilcolina
      1 NORMALIZABLES	St
      1 NORMALIZABLES	solución Dianeal
      1 NORMALIZABLES	solución de Carnoy
      1 NORMALIZABLES	Solinitrina
