      1 NO_NORMALIZABLES	acido
      1 NORMALIZABLES	rasburicasa
      4 NORMALIZABLES	RBV
      1 NORMALIZABLES	remifentanilo
      1 NORMALIZABLES	Renifentanilo
      1 NORMALIZABLES	repaglinida
      1 NORMALIZABLES	reteplasa
      1 NORMALIZABLES	retinol
      9 NORMALIZABLES	rifampicina
      5 NORMALIZABLES	Rifampicina
      2 NORMALIZABLES	Riluzol
      1 NORMALIZABLES	ringer lactato
      2 NORMALIZABLES	Rivaroxabán
      1 NORMALIZABLES	Rivotril
      2 NORMALIZABLES	rojo congo
      1 NORMALIZABLES	Rojo Congo
      2 NORMALIZABLES	ropivacaína
      3 NORMALIZABLES	Rosa de Bengala
      1 NORMALIZABLES	rosiglitazona
      1 NORMALIZABLES	rosiglitiazona
      1 NORMALIZABLES	r-TPA
      1 NORMALIZABLES	Salagen
      1 NORMALIZABLES	salazopirina
      2 NORMALIZABLES	salicilatos
      1 NORMALIZABLES	salino
      1 NORMALIZABLES	salino fisiológico
      1 NORMALIZABLES	Se
      4 NORMALIZABLES	seda
      1 NORMALIZABLES	Seprin
      1 NORMALIZABLES	septrim forte
     12 NORMALIZABLES	sertralina
      1 NORMALIZABLES	Sevofluorano
      2 NORMALIZABLES	SF6
      1 NORMALIZABLES	sildenafil
      9 NORMALIZABLES	silicona
      1 NORMALIZABLES	silidosina
      3 NORMALIZABLES	simvastatina
      1 NORMALIZABLES	sintrom
      3 NORMALIZABLES	Sintrom
      1 NORMALIZABLES	sinvastatina
     21 NORMALIZABLES	sodio
      3 NORMALIZABLES	Sodio
      2 NORMALIZABLES	solución antiséptica
      1 NORMALIZABLES	solución Dianeal
      3 NORMALIZABLES	solución fisiológica
      2 NORMALIZABLES	solución salina
      1 NORMALIZABLES	St
      2 NORMALIZABLES	sucralfato
      2 NORMALIZABLES	suero
      3 NORMALIZABLES	suero fisiológico
      4 NORMALIZABLES	suero salino
      1 NORMALIZABLES	suero salino fisiológico
      1 NORMALIZABLES	sueros salinos
      1 NORMALIZABLES	sulfacetamida
      1 NORMALIZABLES	sulfadiacina
      1 NORMALIZABLES	Sulfadiacina
      1 NORMALIZABLES	sulfato de glucosamina
      2 NORMALIZABLES	sulfato de magnesio
      2 NORMALIZABLES	sulfato de zinc
      1 NORMALIZABLES	sulfato magnésico
      1 NORMALIZABLES	sulpiride
      1 NORMALIZABLES	Synhes
      2 NORMALIZABLES	T3
      1 NORMALIZABLES	T4
      1 NORMALIZABLES	T4L
      5 NORMALIZABLES	tacrolimus
      1 NORMALIZABLES	tacrolinus
      2 NORMALIZABLES	talco
      6 NORMALIZABLES	talidomida
      1 NORMALIZABLES	tamoxifeno
      1 NORMALIZABLES	tamsulosina
      1 NORMALIZABLES	taxano
      2 NORMALIZABLES	taxol
      1 NORMALIZABLES	Tazocel
      1 NORMALIZABLES	Tc 99m difosfato
      1 NORMALIZABLES	Tc99
      1 NORMALIZABLES	Tc99m
      1 NORMALIZABLES	Tc-99m
      1 NORMALIZABLES	Tc99m-MDP
      1 NORMALIZABLES	Tc99m-pertecnetato
      2 NORMALIZABLES	TCM
      1 NORMALIZABLES	Teicoplanina
      4 NORMALIZABLES	Telaprevir
      1 NORMALIZABLES	Temozolomida
      1 NORMALIZABLES	tenecteplasa
      1 NORMALIZABLES	Tenofovir
      1 NORMALIZABLES	terlipresina
      5 NORMALIZABLES	testosterona
      1 NORMALIZABLES	tetraciclinas
      4 NORMALIZABLES	tiamina
      2 NORMALIZABLES	tiapride
      1 NORMALIZABLES	tiazídico
      1 NORMALIZABLES	Timoftol
      2 NORMALIZABLES	tinazidina
      1 NORMALIZABLES	tinción de Gram
      3 NORMALIZABLES	titanio
      1 NORMALIZABLES	Titanio
      3 NORMALIZABLES	tobramicina
      1 NORMALIZABLES	Tobramicina
      5 NORMALIZABLES	tolvaptan
      2 NORMALIZABLES	Topamax
      3 NORMALIZABLES	topiramato
      2 NORMALIZABLES	torasemida
      1 NORMALIZABLES	trabectedina
     10 NORMALIZABLES	tramadol
      2 NORMALIZABLES	Tramadol
      1 NORMALIZABLES	trazodona
      2 NORMALIZABLES	triamcinolona
      1 NORMALIZABLES	Triamcinolona acetónido
      1 NORMALIZABLES	trifusal
     10 NORMALIZABLES	triglicéridos
      2 NORMALIZABLES	Triglicéridos
      1 NORMALIZABLES	triglicéridos de cadena media
      1 NORMALIZABLES	TRIGON depot
      1 NORMALIZABLES	Trimetoprim/Sulfametoxasol
      1 NORMALIZABLES	Trimetropin sulfametoxazol
      1 NORMALIZABLES	Trimetropina/ Sulfametoxazol
      1 NORMALIZABLES	trimetroprim-sufametoxazol
      1 NORMALIZABLES	trimetroprim-sulfametoxazol
      1 NORMALIZABLES	trometamol
      4 NORMALIZABLES	urato
      1 NORMALIZABLES	Uratos
      3 NORMALIZABLES	Urbason
     29 NORMALIZABLES	urea
      6 NORMALIZABLES	Urea
      1 NORMALIZABLES	urobilinógeno
      1 NORMALIZABLES	uroporfirinas
      2 NORMALIZABLES	valproico
     14 NORMALIZABLES	vancomicina
      4 NORMALIZABLES	Vancomicina
      1 NORMALIZABLES	vanilmandelato
      3 NORMALIZABLES	venlafaxina
      3 NORMALIZABLES	verapamilo
      1 NORMALIZABLES	verde de indocianina
      2 NORMALIZABLES	Vicryl
      1 NORMALIZABLES	Vinblastina
      2 NORMALIZABLES	vincristina
      2 NORMALIZABLES	Vincristina
      1 NORMALIZABLES	Viscofresh
      3 NORMALIZABLES	vitamina A
      7 NORMALIZABLES	vitamina B12
      1 NORMALIZABLES	Vitamina B12
      8 NORMALIZABLES	vitamina D
      1 NORMALIZABLES	vitamina E
      1 NORMALIZABLES	vitamina K
      3 NORMALIZABLES	vitaminas
      1 NORMALIZABLES	vitaminas B12
      5 NORMALIZABLES	voriconazol
      1 NORMALIZABLES	VPA
      1 NORMALIZABLES	Vycril
      1 NORMALIZABLES	yeso
      1 NORMALIZABLES	yodo
      1 NORMALIZABLES	Ytrio 90
      4 NORMALIZABLES	zinc
      1 NORMALIZABLES	ziprasidona
      1 NORMALIZABLES	Zn
      2 NORMALIZABLES	ZNS
      1 NORMALIZABLES	zonisamida
      1 NORMALIZABLES	β-glucano
      1 PROTEINAS	µ
      1 PROTEINAS	16S rDNA
      1 PROTEINAS	a-1 antitripsina
      1 PROTEINAS	A29
      4 PROTEINAS	AA
      2 PROTEINAS	AAT
      1 PROTEINAS	ac antifosfolípidos
      1 PROTEINAS	Ac. Leishmania
      1 PROTEINAS	Ac. Toxoplasma
      1 PROTEINAS	ACTH
     10 PROTEINAS	actina
      3 PROTEINAS	Actina
      1 PROTEINAS	AcVHC
      1 PROTEINAS	ADA
      1 PROTEINAS	adalimumab
      1 PROTEINAS	Adenosina desaminasa
      3 PROTEINAS	ADN
      2 PROTEINAS	AE1
      4 PROTEINAS	AE3
      1 PROTEINAS	AEI
      1 PROTEINAS	aFP
      9 PROTEINAS	AFP
      1 PROTEINAS	Ag. criptococo
      2 PROTEINAS	AgHBs
      2 PROTEINAS	alanina aminotransferasa
      1 PROTEINAS	alanini aminotransferasa
      1 PROTEINAS	ALAT
     30 PROTEINAS	albúmina
      3 PROTEINAS	Albúmina
      3 PROTEINAS	aldolasa
      1 PROTEINAS	alfa1
      1 PROTEINAS	alfa-1-antripsina
      1 PROTEINAS	alfa2
      3 PROTEINAS	alfa-feto proteína
      1 PROTEINAS	Alfa-feto proteína
      2 PROTEINAS	alfafetoproteina
      6 PROTEINAS	alfafetoproteína
      3 PROTEINAS	alfa-fetoproteína
      1 PROTEINAS	alfa-FP
      1 PROTEINAS	A-LHRH
      2 PROTEINAS	ALK
      1 PROTEINAS	alk-protein 1
      8 PROTEINAS	ALT
      1 PROTEINAS	AMA
      1 PROTEINAS	AMA-2
     11 PROTEINAS	amilasa
      1 PROTEINAS	Amilasa
      1 PROTEINAS	amilasa pancreática
      1 PROTEINAS	amilasas
      3 PROTEINAS	amiloide
     15 PROTEINAS	ANA
      1 PROTEINAS	ANAs
      1 PROTEINAS	ANAS
      8 PROTEINAS	ANCA
      1 PROTEINAS	ANCAs
      1 PROTEINAS	ANCA's
      2 PROTEINAS	angiotensina
      1 PROTEINAS	anhidrasa carbónica
      1 PROTEINAS	Anti Hbc
      1 PROTEINAS	anti HBe
      3 PROTEINAS	anti-ADN
      1 PROTEINAS	anti-canales de calcio
      1 PROTEINAS	anticardiolipina
      1 PROTEINAS	anti-cardiolipina
      2 PROTEINAS	anti-CD20
      1 PROTEINAS	anticitoplasma de neutrófilos
      1 PROTEINAS	anticoagulante lúpico
      1 PROTEINAS	anticuerpo anti GQ-1b
      1 PROTEINAS	anticuerpo antifosfolípido
      1 PROTEINAS	anticuerpo monoclonal anti CD3
      1 PROTEINAS	anticuerpos ANA
      1 PROTEINAS	anticuerpos anti-ADN
      1 PROTEINAS	anticuerpos anticardiolipina
      1 PROTEINAS	anticuerpos anticitoplasma
      2 PROTEINAS	anticuerpos anticitoplasma de neutrófilos
      1 PROTEINAS	anticuerpos anticitoplasma del neutrófilo
      1 PROTEINAS	anticuerpos anticitoplasma neutrófilo
      1 PROTEINAS	anticuerpos anticitoplásmicos
      1 PROTEINAS	anticuerpos anti-DNA
      2 PROTEINAS	anticuerpos antiestreptolisina O
      1 PROTEINAS	anticuerpos antifosfolipídicos
      1 PROTEINAS	anticuerpos antifosfolípido
      1 PROTEINAS	Anticuerpos anti-GAD
      1 PROTEINAS	anticuerpos anti-MBG
      1 PROTEINAS	anticuerpos antimicelio
      1 PROTEINAS	anticuerpos anti-NMDA
      9 PROTEINAS	anticuerpos antinucleares
      1 PROTEINAS	anticuerpos antipéptidos cíclicos citrulinados
      1 PROTEINAS	anticuerpos antiperoxidasa
      1 PROTEINAS	anticuerpos antireceptores de la acetilcolina
      1 PROTEINAS	anticuerpos anti-Ro
      1 PROTEINAS	Anticuerpos anti-TG
      1 PROTEINAS	anticuerpos antitiroglobulina
      1 PROTEINAS	anticuerpos antitiroideos
      1 PROTEINAS	anticuerpos antitransglutaminasa
      1 PROTEINAS	anticuerpos anti-VIH
      1 PROTEINAS	anticuerpos extraíbles del núcleo
      1 PROTEINAS	anticuerpos frente a VLHT-1
      1 PROTEINAS	anticuerpos frente al HTLV-1
      1 PROTEINAS	anticuerpos IgA antitransglutaminasa
      1 PROTEINAS	Anticuerpos IgA antitransglutaminasa
      1 PROTEINAS	anti-CV2
      1 PROTEINAS	antiDNA
      2 PROTEINAS	anti-DNA
      1 PROTEINAS	antifisina
      2 PROTEINAS	antifosfolípido
      2 PROTEINAS	antígeno carcinoembrionario
      1 PROTEINAS	Antígeno carcinoembrionario
      1 PROTEINAS	antígeno criptocócico
      2 PROTEINAS	antígeno galactomanano
      1 PROTEINAS	antígeno prostático específico
      1 PROTEINAS	Antígeno Prostático Específico
      1 PROTEINAS	antígenos de histocompatibilidad-B27
      1 PROTEINAS	antígenos de influenza A
      1 PROTEINAS	Anti-HBc
      1 PROTEINAS	Anti-HBs
      1 PROTEINAS	anti-histonas
      1 PROTEINAS	anti-HPA-1a
      2 PROTEINAS	anti-Hu
      1 PROTEINAS	anti-IA2
      1 PROTEINAS	anti-insulina
      1 PROTEINAS	anti-Jo
      1 PROTEINAS	anti-La
      1 PROTEINAS	anti-LA
      1 PROTEINAS	anti-LKM
      1 PROTEINAS	antimembrana basal
      1 PROTEINAS	anti-P155/140
      1 PROTEINAS	anti-Ri
      1 PROTEINAS	anti-RNP
      1 PROTEINAS	anti-Ro
      1 PROTEINAS	anti-SCL70
      1 PROTEINAS	anti-Sm
      1 PROTEINAS	antitiroides
      1 PROTEINAS	anti-TNF
      1 PROTEINAS	anti-TPO
      1 PROTEINAS	anti-Tr
      3 PROTEINAS	antitrombina III
      1 PROTEINAS	anti-VEGF
      1 PROTEINAS	anti-Yo
      1 PROTEINAS	ASAT
      5 PROTEINAS	ASLO
      2 PROTEINAS	aspartato aminotransferasa
      1 PROTEINAS	aspartato transaminasa
      7 PROTEINAS	AST
      1 PROTEINAS	ATG
      1 PROTEINAS	b2µglobulina
      1 PROTEINAS	B27
      1 PROTEINAS	b2-microglobulina
      1 PROTEINAS	B7
      1 PROTEINAS	bcl-2
      2 PROTEINAS	BCL2
      2 PROTEINAS	BCL6
      1 PROTEINAS	bence-jones
      4 PROTEINAS	Bence-Jones
      1 PROTEINAS	beta
      1 PROTEINAS	beta catenina
      1 PROTEINAS	beta2-globulina
      3 PROTEINAS	beta-2-microglobulina
      1 PROTEINAS	Beta2-microglobulina
      1 PROTEINAS	Beta-2-microglobulina
      3 PROTEINAS	beta-gonadotropina coriónica
      1 PROTEINAS	beta-hCG
      4 PROTEINAS	beta-HCG
      3 PROTEINAS	Beta-HCG
      3 PROTEINAS	bevacizumab
      1 PROTEINAS	Bevacizumab
      2 PROTEINAS	b-HCG
      1 PROTEINAS	BHCG
      1 PROTEINAS	B-HCG
      1 PROTEINAS	BioGide
      1 PROTEINAS	BLEE
      5 PROTEINAS	bomba de protones
      1 PROTEINAS	BX2
      1 PROTEINAS	C
      2 PROTEINAS	C1q
      6 PROTEINAS	C3
      2 PROTEINAS	C4
      1 PROTEINAS	C4d
      1 PROTEINAS	CA 12,5
      2 PROTEINAS	Ca 125
      2 PROTEINAS	CA 125
      1 PROTEINAS	CA 15,3
      1 PROTEINAS	CA 19,9
      2 PROTEINAS	Ca 19.9
      1 PROTEINAS	CA 19.9
      1 PROTEINAS	CA 19-9
      2 PROTEINAS	CA125
      1 PROTEINAS	CA153
      1 PROTEINAS	CA19.9
      1 PROTEINAS	CA19-9
      1 PROTEINAS	cadena gamma del receptor del linfocito T
      1 PROTEINAS	cadena pesada de las inmunoglobulinas
      1 PROTEINAS	cadenas ligeras Kappa
      1 PROTEINAS	cadenas ligeras libres monoclonales
      1 PROTEINAS	cadenas ligeras tipo lamda
      1 PROTEINAS	calcitonina
      1 PROTEINAS	calponina
      1 PROTEINAS	Calretinina
      2 PROTEINAS	CAM5.2
      5 PROTEINAS	canakinumab
      1 PROTEINAS	Canakinumab
      2 PROTEINAS	C-ANCA
      2 PROTEINAS	CD 10
      2 PROTEINAS	CD 117
      5 PROTEINAS	CD 20
      2 PROTEINAS	CD 3
      1 PROTEINAS	CD 34
      3 PROTEINAS	CD 4
      1 PROTEINAS	CD 43
      1 PROTEINAS	CD 5
      1 PROTEINAS	CD 56
      2 PROTEINAS	CD 68
      2 PROTEINAS	CD 8
      1 PROTEINAS	CD 99
      1 PROTEINAS	CD1
      2 PROTEINAS	CD10
      1 PROTEINAS	CD117
      1 PROTEINAS	CD138
      1 PROTEINAS	CD-15
      3 PROTEINAS	CD16
      1 PROTEINAS	CD19
      1 PROTEINAS	CD1a
      4 PROTEINAS	CD20
      1 PROTEINAS	CD23
      1 PROTEINAS	CD3
      1 PROTEINAS	CD30
      1 PROTEINAS	CD-30
      2 PROTEINAS	CD31
      3 PROTEINAS	CD34
      1 PROTEINAS	CD38
      7 PROTEINAS	CD4
      3 PROTEINAS	CD45
      1 PROTEINAS	CD5
      6 PROTEINAS	CD56
      1 PROTEINAS	CD68
      1 PROTEINAS	Cd79b
      5 PROTEINAS	CD8
      1 PROTEINAS	CD99
      1 PROTEINAS	CD-99
     12 PROTEINAS	CEA
      1 PROTEINAS	Cerb-2
      2 PROTEINAS	ceruloplasmina
      1 PROTEINAS	cetuximab
      1 PROTEINAS	C-GSF
      1 PROTEINAS	ciclina D1
      1 PROTEINAS	citoqueratina
      1 PROTEINAS	citoqueratina (CK) 20
      2 PROTEINAS	citoqueratina 20
      1 PROTEINAS	citoqueratina 22
      2 PROTEINAS	citoqueratina 7
      1 PROTEINAS	citoqueratina AE1-3
      1 PROTEINAS	citoqueratina-20
      1 PROTEINAS	citoqueratina-7
      4 PROTEINAS	citoqueratinas
      1 PROTEINAS	Citoqueratinas
      1 PROTEINAS	citoquetatina
      6 PROTEINAS	CK
      1 PROTEINAS	CK18
      1 PROTEINAS	CK20
      1 PROTEINAS	CK22
      1 PROTEINAS	CK7
      1 PROTEINAS	CK8
      1 PROTEINAS	CKAE1
      1 PROTEINAS	c-kit
      1 PROTEINAS	C-Kit
      1 PROTEINAS	CK-MB
      1 PROTEINAS	CKPAN
      2 PROTEINAS	COL1A1
      1 PROTEINAS	COL1A2
      5 PROTEINAS	colágeno
      1 PROTEINAS	colágeno IV
      1 PROTEINAS	colinesterasa
      5 PROTEINAS	complemento
      1 PROTEINAS	componente M
      5 PROTEINAS	CPK
      1 PROTEINAS	creatinfosfokinasa
      1 PROTEINAS	creatinfosfokinasa fracción MB
      1 PROTEINAS	creatinkinasa
      2 PROTEINAS	creatinquinasa
      2 PROTEINAS	crioglobulinas
      1 PROTEINAS	Criopirina
      1 PROTEINAS	cromogramina
      1 PROTEINAS	cromogranina
      2 PROTEINAS	Cromogranina
      1 PROTEINAS	CRTAP
      1 PROTEINAS	delta
      3 PROTEINAS	deshidrogenasa láctica
      4 PROTEINAS	desmina
      3 PROTEINAS	Desmina
      2 PROTEINAS	diastasa
      1 PROTEINAS	Dímero D
      2 PROTEINAS	DQ2
      1 PROTEINAS	DQ8
      1 PROTEINAS	DR2
      1 PROTEINAS	E1
      1 PROTEINAS	E3
      1 PROTEINAS	EBER
      2 PROTEINAS	ECR-NMDA
      1 PROTEINAS	eculizumab
      5 PROTEINAS	EMA
      2 PROTEINAS	ENA
      1 PROTEINAS	enolasa
      2 PROTEINAS	enolasa neuronal específica
      1 PROTEINAS	enzima conversora de la angiotensina
      1 PROTEINAS	enzima convertidora de angiotensina
      1 PROTEINAS	enzima convertidora de la angiotensina II
      1 PROTEINAS	enzima de conversión de angiotensina
      1 PROTEINAS	enzimas de colestasis
      5 PROTEINAS	enzimas hepáticas
      1 PROTEINAS	enzimas hepáticos
      1 PROTEINAS	enzimas miocárdicas
      1 PROTEINAS	enzimas pancreáticos
      4 PROTEINAS	eritropoyetina
      1 PROTEINAS	estreptoquinasa
      4 PROTEINAS	FA
      1 PROTEINAS	F-actina
      3 PROTEINAS	factor anti-Xa
      2 PROTEINAS	factor II
      7 PROTEINAS	factor reumatoide
      1 PROTEINAS	Factor reumatoide
      4 PROTEINAS	factor V
      1 PROTEINAS	Factor V
      1 PROTEINAS	factores estimulantes de colonias
      1 PROTEINAS	factores estimulantes de colonias granulocíticas
     10 PROTEINAS	ferritina
      2 PROTEINAS	Ferritina
      1 PROTEINAS	FFAA
      7 PROTEINAS	fibrina
      6 PROTEINAS	fibrinógeno
     10 PROTEINAS	fosfatasa alcalina
      1 PROTEINAS	Fosfatasa alcalina
      1 PROTEINAS	fosfatasas alcalinas
      1 PROTEINAS	Fosfatasas alcalinas
      3 PROTEINAS	FR
      2 PROTEINAS	FSH
      1 PROTEINAS	galactomanano
      1 PROTEINAS	gamma
      3 PROTEINAS	gammaglobulina
      2 PROTEINAS	Gammaglobulina
      2 PROTEINAS	gammaglobulinas
      1 PROTEINAS	gastrina
      3 PROTEINAS	GFAP
     19 PROTEINAS	GGT
      1 PROTEINAS	globulina antitimocítica
      1 PROTEINAS	globulinas
      1 PROTEINAS	Globulinas
      2 PROTEINAS	glucagón
     17 PROTEINAS	GOT
     18 PROTEINAS	GPT
      1 PROTEINAS	Granzime B
      2 PROTEINAS	haptoglobina
     38 PROTEINAS	Hb
      1 PROTEINAS	Hb 1AC
      3 PROTEINAS	HbA1c
      4 PROTEINAS	HCG
     38 PROTEINAS	hemoglobina
      2 PROTEINAS	Hemoglobina
      1 PROTEINAS	hemoglobina glicosilada
      1 PROTEINAS	Hgb
      3 PROTEINAS	HLA
      2 PROTEINAS	HLA B27
      1 PROTEINAS	HLA B-27
      1 PROTEINAS	HLA-B27
      2 PROTEINAS	HMB 45
      6 PROTEINAS	HMB45
      1 PROTEINAS	HMB-45
      1 PROTEINAS	HNF1 β
      1 PROTEINAS	Hormona Antidiurética
      1 PROTEINAS	hormona liberadora de gonadotropina
      1 PROTEINAS	hormona liberadora de gonadotropinas
      1 PROTEINAS	hormona paratiroidea
      3 PROTEINAS	HPA-1a
      1 PROTEINAS	HTLV I/II
      1 PROTEINAS	HTLV-1/HTLV-2
      1 PROTEINAS	human leukocyte antigen
      1 PROTEINAS	IAA
      1 PROTEINAS	IFN
      1 PROTEINAS	IFN pegilado α2a
      1 PROTEINAS	IFN-α
      1 PROTEINAS	Ig A
      1 PROTEINAS	Ig G4
      1 PROTEINAS	Ig M
     11 PROTEINAS	IgA
      1 PROTEINAS	IgA antitransglutaminasa
      1 PROTEINAS	IgA y M
      4 PROTEINAS	IgE
     16 PROTEINAS	IgG
      1 PROTEINAS	IgG específica frente a toxoide tetánico
      1 PROTEINAS	IgG4
      2 PROTEINAS	IgG-Kappa
      1 PROTEINAS	IgH
      1 PROTEINAS	IGIV
      1 PROTEINAS	IG-Kappa
     24 PROTEINAS	IgM
      5 PROTEINAS	IGs
      1 PROTEINAS	IL-2
      2 PROTEINAS	infliximab
      5 PROTEINAS	Infliximab
      1 PROTEINAS	INF-α
      1 PROTEINAS	inhibina
      1 PROTEINAS	Inhibina
      1 PROTEINAS	inmunoglobulina G
      1 PROTEINAS	inmunoglobulina IgM
     11 PROTEINAS	inmunoglobulinas
      7 PROTEINAS	insulina
      1 PROTEINAS	insulina aspart
      1 PROTEINAS	insulina glargina
      1 PROTEINAS	insulina isofánica protamina
      1 PROTEINAS	insulina rápida
      1 PROTEINAS	interferón
      2 PROTEINAS	Interferón
      1 PROTEINAS	Interferon alfa
      1 PROTEINAS	interferón gamma
      1 PROTEINAS	Interferón-á
      1 PROTEINAS	interferon-gamma
      1 PROTEINAS	interleucina 6
      1 PROTEINAS	interleucina humana-1 beta
      1 PROTEINAS	Interleukina II
      1 PROTEINAS	Intrón A
      2 PROTEINAS	ipilimumab
      1 PROTEINAS	isohemaglutininas
      5 PROTEINAS	kappa
      1 PROTEINAS	keratina
      1 PROTEINAS	ki 67
      4 PROTEINAS	Ki67
      2 PROTEINAS	Ki-67
      2 PROTEINAS	KIT
      1 PROTEINAS	K-ras
      1 PROTEINAS	lactato deshidrogenada
      3 PROTEINAS	lactato deshidrogenasa
      2 PROTEINAS	Lactato deshidrogenasa
      1 PROTEINAS	Lactato deshidrogenosa
      2 PROTEINAS	lactatodeshidrogenasa
      1 PROTEINAS	lactodeshidrogenasa
      3 PROTEINAS	lambda
     35 PROTEINAS	LDH
      1 PROTEINAS	LEPRE1
      2 PROTEINAS	LH
      2 PROTEINAS	lh-rh
      1 PROTEINAS	LH-RH
      2 PROTEINAS	lipasa
      1 PROTEINAS	Lisozima
      1 PROTEINAS	LKM1
      1 PROTEINAS	LMP1
      1 PROTEINAS	MELAM-A
      1 PROTEINAS	MELAN A
      1 PROTEINAS	Melan-A
      3 PROTEINAS	metahemoglobina
      1 PROTEINAS	Mi-1
      1 PROTEINAS	Mi-2
      1 PROTEINAS	MIB-1
      1 PROTEINAS	mielina
      1 PROTEINAS	miofosforilasa
      1 PROTEINAS	mioglobina
      1 PROTEINAS	miosina
      2 PROTEINAS	mucina
      1 PROTEINAS	MyO D1
      1 PROTEINAS	N-acetilglucosaminidasa
      1 PROTEINAS	NAG
      1 PROTEINAS	NPHS1
      1 PROTEINAS	NPHS2
      1 PROTEINAS	NSE
      1 PROTEINAS	ntiandrógeno
      1 PROTEINAS	OKT3
      1 PROTEINAS	oxihemoglobina
      1 PROTEINAS	p53
      1 PROTEINAS	p-53
      2 PROTEINAS	P53
      3 PROTEINAS	p63
      1 PROTEINAS	p80
      1 PROTEINAS	P-ANCA
      1 PROTEINAS	panitumumab
      1 PROTEINAS	parathormona
     25 PROTEINAS	PCR
      4 PROTEINAS	PCT
      1 PROTEINAS	PDF
      1 PROTEINAS	Péptido C
      1 PROTEINAS	Péptido natriurético tipo B
      1 PROTEINAS	Perforina
      1 PROTEINAS	P-INF
      1 PROTEINAS	P-INF alfa
      2 PROTEINAS	PLAP
      1 PROTEINAS	polimerasa
      1 PROTEINAS	polimerasas
      1 PROTEINAS	polisacárido capsular de neumococo
      4 PROTEINAS	prealbúmina
      1 PROTEINAS	Prealbúmina
      2 PROTEINAS	precipitinas
      1 PROTEINAS	priones
      2 PROTEINAS	procalcitonina
      2 PROTEINAS	prolactina
      2 PROTEINAS	proteína
      1 PROTEINAS	proteína amiloide A
      1 PROTEINAS	proteína C
      1 PROTEINAS	proteína c activada
      1 PROTEINAS	proteína C activada
     10 PROTEINAS	proteína C reactiva
      3 PROTEINAS	Proteína C reactiva
      1 PROTEINAS	proteína C-reactiva
      1 PROTEINAS	Proteina enlazante de retinol
      1 PROTEINAS	proteína glial fibrilar ácida
      1 PROTEINAS	proteína ligadora del retinol
      1 PROTEINAS	proteína S- 100
      1 PROTEINAS	Proteina S-100
      4 PROTEINAS	proteína S-100
      1 PROTEINAS	Proteína s-100
      1 PROTEINAS	proteína sérica amiloide A
      2 PROTEINAS	proteinas
     15 PROTEINAS	proteínas
      1 PROTEINAS	Proteínas
      1 PROTEINAS	proteínas en orina
      1 PROTEINAS	proteínas S
      1 PROTEINAS	proteinas totales
     15 PROTEINAS	proteínas totales
      3 PROTEINAS	Proteínas totales
      1 PROTEINAS	Proteínas Totales
      8 PROTEINAS	protrombina
      1 PROTEINAS	PS 3
     32 PROTEINAS	PSA
      1 PROTEINAS	PTEN
      4 PROTEINAS	PTH
      3 PROTEINAS	PTHi
      1 PROTEINAS	queratina
      1 PROTEINAS	queratina 903
      1 PROTEINAS	queratinas AE1-3
      1 PROTEINAS	queratinas AE1-AE3
      3 PROTEINAS	ramucirumab
      2 PROTEINAS	ranibizumab
      1 PROTEINAS	RE
      9 PROTEINAS	reactantes de fase aguda
      1 PROTEINAS	receptor de interleucina 1
      2 PROTEINAS	receptores de estrógenos
      2 PROTEINAS	receptores de progesterona
      2 PROTEINAS	receptores hormonales
      1 PROTEINAS	receptores hormonales de estrógenos
      1 PROTEINAS	receptores hormonales de estrógenos y de progesterona
      1 PROTEINAS	receptores m opioides
      1 PROTEINAS	receptores N-metil-D-aspartato
      1 PROTEINAS	receptores opioides
      1 PROTEINAS	Remicade
      3 PROTEINAS	renina
      1 PROTEINAS	reticulina
      1 PROTEINAS	RHA
      3 PROTEINAS	rituximab
      1 PROTEINAS	Rituximab
      1 PROTEINAS	RNA
      1 PROTEINAS	RPg
      1 PROTEINAS	RPR
      1 PROTEINAS	rt-PA
      2 PROTEINAS	S100
      8 PROTEINAS	S-100
      1 PROTEINAS	seroalbúmina
      1 PROTEINAS	sIg
      1 PROTEINAS	sinaptofisina
      1 PROTEINAS	Sinaptofusina
      1 PROTEINAS	SLA
      1 PROTEINAS	SLC4A1
      1 PROTEINAS	SMA
      2 PROTEINAS	somatostatina
      1 PROTEINAS	ß2µglobulina
      3 PROTEINAS	ß-HCG
      1 PROTEINAS	STH
      1 PROTEINAS	TCR
      3 PROTEINAS	TG
      2 PROTEINAS	TGO
      2 PROTEINAS	TGP
      1 PROTEINAS	toxina botulínica
      1 PROTEINAS	toxina botulínica serotipo A
      1 PROTEINAS	toxina de Clostridium difficile
      1 PROTEINAS	transaminasa glutámico-oxalacética
      1 PROTEINAS	Transaminasa glutámico-oxalacética
      1 PROTEINAS	transaminasa glutámico-pirúvica
      1 PROTEINAS	Transaminasa glutámico-pirúvica
     12 PROTEINAS	transaminasas
      1 PROTEINAS	Transaminasas
      1 PROTEINAS	transferina
      3 PROTEINAS	transferrina
      2 PROTEINAS	trastuzumab
      2 PROTEINAS	tromboplastina
      1 PROTEINAS	troponina
      5 PROTEINAS	TSH
      1 PROTEINAS	TSI
      1 PROTEINAS	TTF-1
      1 PROTEINAS	TTG
      3 PROTEINAS	tuberculina
      1 PROTEINAS	ureasa
      1 PROTEINAS	VEB
      1 PROTEINAS	vicentina
      9 PROTEINAS	vimentina
      3 PROTEINAS	Vimentina
      2 PROTEINAS	WT1
